sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
4885OTE,TRUE,4885OTE,4885-870,4885-871,,,,,,,,,796995905061,Abbington,Abbington Square End Table,Dark pewter,glass,,,,,,,$75.0,,Accents and Occasionals,End Table,,,,25.0,22.0,26.0,26.0,,,"Hillsdale's subtly sophisticated Abbington occasional collection is created by a combination of a muted pewter finish, elegant scrollwork, and gracefully curved legs.  Complete with a glass topped end table, console table and coffee table, you can accent your entire living room, den or foyer with this lovely ensemble.  Though the Abbington occasional is fabulous as a collection each individual piece is strong enough to stand alone.",Muted pewter finish,Elegant scrollwork,Gracefully curved legs,,,,Metal, Glass,,,,China,Small Parcel,2.0,17.0,5.0,24.0,23.0,18.0,2.0,30.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,hh4885ote.jpg,,,,,,,,,,,,,,,,,,,hh4885ote.jpg,,,hh4885ote.jpg,,,,,,,,,
4885-870,TRUE,4885OTE,,,,,,,,,,,796995072992,Abbington,Abbington Square End Table - Base,Dark pewter,glass,,,,,,,$45.0,,Accents and Occasionals,End Table,,,,12.0,22.0,,,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,17.0,5.0,24.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885-871,TRUE,4885OTE,,,,,,,,,,,796995073029,Abbington,Abbington Square End Table - Glass Top,Dark pewter,glass,,,,,,,$30.0,,Accents and Occasionals,End Table,,,,13.0,,26.0,26.0,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,18.0,2.0,30.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885OTS,TRUE,4885OTS,4885-872,4885-873,,,,,,,,,796995930933,Abbington,Abbington Console Table,Dark pewter,glass,,,,,,,$95.0,,Accents and Occasionals,Console Table,,,,33.0,30.0,50.0,17.0,,,"Hillsdale's subtly sophisticated Abbington occasional collection is created by a combination of a muted pewter finish, elegant scrollwork, and gracefully curved legs.  Complete with a glass topped end table, console table and coffee table, you can accent your entire living room, den or foyer with this lovely ensemble.  Though the Abbington occasional is fabulous as a collection each individual piece is strong enough to stand alone.",Muted pewter finish,Elegant scrollwork,Gracefully curved legs,,,,Metal, Glass,,,,China,Small Parcel,2.0,23.0,5.0,17.0,47.0,20.0,2.0,21.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,hh4885ots.jpg,,,,,,,,,,,,,,,,,,,hh4885ots.jpg,,,hh4885ots.jpg,,,,,,,,,
4885-872,TRUE,4885OTS,,,,,,,,,,,796995073005,Abbington,Abbington Console Table - Base,Dark pewter,glass,,,,,,,$58.0,,Accents and Occasionals,Console Table,,,,18.0,30.0,,,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,23.0,5.0,17.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885-873,TRUE,4885OTS,,,,,,,,,,,796995073036,Abbington,Abbington Console Table - Glass Top,Dark pewter,glass,,,,,,,$37.0,,Accents and Occasionals,Console Table,,,,15.0,,50.0,17.0,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,20.0,2.0,21.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885OTC,TRUE,4885OTC,4885-874,4885-875,,,,,,,,,796995905078,Abbington,Abbington Rectangle Coffee Table,Dark pewter,glass,,,,,,,$100.0,,Accents and Occasionals,Coffee Table,,,,47.0,18.0,48.0,26.0,,,"Hillsdale's subtly sophisticated Abbington occasional collection is created by a combination of a muted pewter finish, elegant scrollwork, and gracefully curved legs.  Complete with a glass topped end table, console table and coffee table, you can accent your entire living room, den or foyer with this lovely ensemble.  Though the Abbington occasional is fabulous as a collection each individual piece is strong enough to stand alone.",Muted pewter finish,Elegant scrollwork,Gracefully curved legs,,,,Metal, Glass,,,,China,Small Parcel,2.0,24.0,5.0,23.0,44.0,33.0,2.0,30.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,hh4885otc.jpg,,,,,,,,,,,,,,,,,,,hh4885otc.jpg,,,hh4885otc.jpg,,,,,,,,,
4885-874,TRUE,4885OTC,,,,,,,,,,,796995073012,Abbington,Abbington Rectangle Coffee Table - Base,Dark pewter,glass,,,,,,,$60.0,,Accents and Occasionals,Coffee Table,,,,19.0,18.0,,,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,24.0,5.0,23.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885-875,TRUE,4885OTC,,,,,,,,,,,796995073043,Abbington,Abbington Rectangle Coffee Table - Glass Top,Dark pewter,glass,,,,,,,$40.0,,Accents and Occasionals,Coffee Table,,,,28.0,,48.0,26.0,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,33.0,2.0,30.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4783-850,TRUE,4783-850,,,,,,,,,,,796995054356,Bayberry,Bayberry Sideboard,Dark cherry finish,,,,,,,,$170.0,,Accents and Occasionals,Sideboard,,,,83.0,37.0,42.25,15.25,,,"Finished in a dark cherry or classic oak, our Bayberry/Glenmary sideboard combines the clean lines of a transitional design with the unique addition of a bamboo effect.  Made from hardwoods, it is composed of both solids and climate controlled wood composites to prevent cracking and splitting from changes in temperature or humidity.",Dark cherry finish,Clean lines,Bamboo effect,Transitional design,,,Wood,,,,Rubber wood,Vietnam,Oversized,1.0,88.0,20.0,22.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,hh4783-850.jpg,,,,,,,,,,,,,,,,,,,hh4783-850.jpg,,,hh4783-850.jpg,,,,,,,,,
